Categoría,Artista,Título,Año,URL
Eurodance y house,Spiller feat. Sophie Ellis-Bextor,Groovejet (If This Ain't Love),2000,https://open.spotify.com/search/Spiller%20feat.%20Sophie%20Ellis-Bextor%20Groovejet%20%28If%20This%20Ain%27t%20Love%29
Eurodance y house,Roger Sanchez,Another Chance,2001,https://open.spotify.com/search/Roger%20Sanchez%20Another%20Chance
Eurodance y house,Junior Senior,Move Your Feet,2002,https://open.spotify.com/search/Junior%20Senior%20Move%20Your%20Feet
Eurodance y house,Room 5 feat. Oliver Cheatham,Make Luv,2003,https://open.spotify.com/search/Room%205%20feat.%20Oliver%20Cheatham%20Make%20Luv
Eurodance y house,The Shapeshifters,Lola's Theme,2004,https://open.spotify.com/search/The%20Shapeshifters%20Lola%27s%20Theme
Eurodance y house,Bob Sinclar feat. Steve Edwards,"World, Hold On",2006,https://open.spotify.com/search/Bob%20Sinclar%20feat.%20Steve%20Edwards%20World%2C%20Hold%20On
Eurodance y house,David Guetta feat. Kelly Rowland,When Love Takes Over,2009,https://open.spotify.com/search/David%20Guetta%20feat.%20Kelly%20Rowland%20When%20Love%20Takes%20Over
Eurodance y house,Martin Solveig & Dragonette,Hello,2010,https://open.spotify.com/search/Martin%20Solveig%20%26%20Dragonette%20Hello
Eurodance y house,Duck Sauce,Barbra Streisand,2010,https://open.spotify.com/search/Duck%20Sauce%20Barbra%20Streisand
Eurodance y house,Yolanda Be Cool & DCUP,We No Speak Americano,2010,https://open.spotify.com/search/Yolanda%20Be%20Cool%20%26%20DCUP%20We%20No%20Speak%20Americano
Eurodance y house,Avicii,Levels,2011,https://open.spotify.com/search/Avicii%20Levels
Eurodance y house,Swedish House Mafia feat. John Martin,Don't You Worry Child,2012,https://open.spotify.com/search/Swedish%20House%20Mafia%20feat.%20John%20Martin%20Don%27t%20You%20Worry%20Child
Eurodance y house,Disclosure feat. Sam Smith,Latch,2012,https://open.spotify.com/search/Disclosure%20feat.%20Sam%20Smith%20Latch
Pop 2000-2010,Britney Spears,Toxic,2003,https://open.spotify.com/search/Britney%20Spears%20Toxic
Pop 2000-2010,Kylie Minogue,Can't Get You Out of My Head,2001,https://open.spotify.com/search/Kylie%20Minogue%20Can%27t%20Get%20You%20Out%20of%20My%20Head
Pop 2000-2010,Lady Gaga,Bad Romance,2009,https://open.spotify.com/search/Lady%20Gaga%20Bad%20Romance
Pop 2000-2010,Rihanna,Only Girl (In the World),2010,https://open.spotify.com/search/Rihanna%20Only%20Girl%20%28In%20the%20World%29
Pop 2000-2010,Katy Perry,Firework,2010,https://open.spotify.com/search/Katy%20Perry%20Firework
Pop 2000-2010,Kesha,TiK ToK,2009,https://open.spotify.com/search/Kesha%20TiK%20ToK
Pop 2000-2010,Shakira feat. Wyclef Jean,Hips Don't Lie,2006,https://open.spotify.com/search/Shakira%20feat.%20Wyclef%20Jean%20Hips%20Don%27t%20Lie
Pop 2000-2010,Pitbull feat. Kesha,Timber,2013,https://open.spotify.com/search/Pitbull%20feat.%20Kesha%20Timber
Pop 2000-2010,LMFAO feat. Lauren Bennett & GoonRock,Party Rock Anthem,2011,https://open.spotify.com/search/LMFAO%20feat.%20Lauren%20Bennett%20%26%20GoonRock%20Party%20Rock%20Anthem
Pop 2000-2010,The Black Eyed Peas,I Gotta Feeling,2009,https://open.spotify.com/search/The%20Black%20Eyed%20Peas%20I%20Gotta%20Feeling
Pop 2000-2010,Jennifer Lopez feat. Pitbull,On the Floor,2011,https://open.spotify.com/search/Jennifer%20Lopez%20feat.%20Pitbull%20On%20the%20Floor
Pop 2000-2010,Beyoncé,Single Ladies (Put a Ring on It),2008,https://open.spotify.com/search/Beyonc%C3%A9%20Single%20Ladies%20%28Put%20a%20Ring%20on%20It%29
Pop 2000-2010,Rihanna feat. Calvin Harris,We Found Love,2011,https://open.spotify.com/search/Rihanna%20feat.%20Calvin%20Harris%20We%20Found%20Love
Pop 2000-2010,Calvin Harris feat. Florence Welch,Sweet Nothing,2012,https://open.spotify.com/search/Calvin%20Harris%20feat.%20Florence%20Welch%20Sweet%20Nothing
Pop 2000-2010,Icona Pop feat. Charli XCX,I Love It,2012,https://open.spotify.com/search/Icona%20Pop%20feat.%20Charli%20XCX%20I%20Love%20It
Pop 2000-2010,Robyn,Dancing on My Own,2010,https://open.spotify.com/search/Robyn%20Dancing%20on%20My%20Own
Pop 2000-2010,Sophie Ellis-Bextor,Murder on the Dancefloor,2001,https://open.spotify.com/search/Sophie%20Ellis-Bextor%20Murder%20on%20the%20Dancefloor
Pop 2000-2010,Scissor Sisters,I Don't Feel Like Dancin',2006,https://open.spotify.com/search/Scissor%20Sisters%20I%20Don%27t%20Feel%20Like%20Dancin%27
Pop 2000-2010,Nelly Furtado,Maneater,2006,https://open.spotify.com/search/Nelly%20Furtado%20Maneater
Pop 2000-2010,Madonna,Hung Up,2005,https://open.spotify.com/search/Madonna%20Hung%20Up
Pop 2000-2010,Britney Spears,Gimme More,2007,https://open.spotify.com/search/Britney%20Spears%20Gimme%20More
Pop 2000-2010,The Pussycat Dolls,Don't Cha,2005,https://open.spotify.com/search/The%20Pussycat%20Dolls%20Don%27t%20Cha
Pop 2000-2010,Sugababes,Push the Button,2005,https://open.spotify.com/search/Sugababes%20Push%20the%20Button
Pop 2000-2010,Girls Aloud,Sound of the Underground,2002,https://open.spotify.com/search/Girls%20Aloud%20Sound%20of%20the%20Underground
Pop 2000-2010,Natasha Bedingfield,Unwritten,2004,https://open.spotify.com/search/Natasha%20Bedingfield%20Unwritten
España y latino,Raffaella Carrà,Hay que venir al sur,1978,https://open.spotify.com/search/Raffaella%20Carr%C3%A0%20Hay%20que%20venir%20al%20sur
España y latino,Mecano,Me colé en una fiesta,1982,https://open.spotify.com/search/Mecano%20Me%20col%C3%A9%20en%20una%20fiesta
España y latino,Alaska y Dinarama,A quién le importa,1986,https://open.spotify.com/search/Alaska%20y%20Dinarama%20A%20qui%C3%A9n%20le%20importa
España y latino,La Unión,Lobo-hombre en París,1984,https://open.spotify.com/search/La%20Uni%C3%B3n%20Lobo-hombre%20en%20Par%C3%ADs
España y latino,Chimo Bayo,Así me gusta a mí,1991,https://open.spotify.com/search/Chimo%20Bayo%20As%C3%AD%20me%20gusta%20a%20m%C3%AD
España y latino,OBK,Historias de amor,1991,https://open.spotify.com/search/OBK%20Historias%20de%20amor
España y latino,Azúcar Moreno,Solo se vive una vez,1996,https://open.spotify.com/search/Az%C3%BAcar%20Moreno%20Solo%20se%20vive%20una%20vez
España y latino,King África,La Bomba,2000,https://open.spotify.com/search/King%20%C3%81frica%20La%20Bomba
España y latino,Melody,El baile del gorila,2001,https://open.spotify.com/search/Melody%20El%20baile%20del%20gorila
España y latino,Fórmula Abierta,Te quiero más,2002,https://open.spotify.com/search/F%C3%B3rmula%20Abierta%20Te%20quiero%20m%C3%A1s
España y latino,David Bisbal,Ave María,2002,https://open.spotify.com/search/David%20Bisbal%20Ave%20Mar%C3%ADa
España y latino,Andy & Lucas,Son de amores,2003,https://open.spotify.com/search/Andy%20%26%20Lucas%20Son%20de%20amores
España y latino,Camela,Cuando zarpa el amor,2004,https://open.spotify.com/search/Camela%20Cuando%20zarpa%20el%20amor
España y latino,La Casa Azul,La revolución sexual,2007,https://open.spotify.com/search/La%20Casa%20Azul%20La%20revoluci%C3%B3n%20sexual
España y latino,El Sueño de Morfeo,Nunca volverá,2005,https://open.spotify.com/search/El%20Sue%C3%B1o%20de%20Morfeo%20Nunca%20volver%C3%A1
España y latino,Amaral,Toda la noche en la calle,2002,https://open.spotify.com/search/Amaral%20Toda%20la%20noche%20en%20la%20calle
España y latino,Paulina Rubio,Y yo sigo aquí,2000,https://open.spotify.com/search/Paulina%20Rubio%20Y%20yo%20sigo%20aqu%C3%AD
España y latino,Thalía,A quién le importa,2002,https://open.spotify.com/search/Thal%C3%ADa%20A%20qui%C3%A9n%20le%20importa
España y latino,Shakira,"Suerte (Whenever, Wherever)",2001,https://open.spotify.com/search/Shakira%20Suerte%20%28Whenever%2C%20Wherever%29
España y latino,Juanes,La camisa negra,2005,https://open.spotify.com/search/Juanes%20La%20camisa%20negra
España y latino,Estopa,Vino tinto,1999,https://open.spotify.com/search/Estopa%20Vino%20tinto
España y latino,Estopa,Tu calorro,1999,https://open.spotify.com/search/Estopa%20Tu%20calorro
España y latino,La Quinta Estación,El sol no regresa,2004,https://open.spotify.com/search/La%20Quinta%20Estaci%C3%B3n%20El%20sol%20no%20regresa
España y latino,Pereza,Princesas,2005,https://open.spotify.com/search/Pereza%20Princesas
España y latino,Dover,Devil Came to Me,1997,https://open.spotify.com/search/Dover%20Devil%20Came%20to%20Me
España y latino,Rigoberta Bandini,Ay mamá,2022,https://open.spotify.com/search/Rigoberta%20Bandini%20Ay%20mam%C3%A1
España y latino,Nebulossa,Zorra,2023,https://open.spotify.com/search/Nebulossa%20Zorra
España y latino,Ana Mena,Madrid City,2023,https://open.spotify.com/search/Ana%20Mena%20Madrid%20City
España y latino,Vicco,Nochentera,2022,https://open.spotify.com/search/Vicco%20Nochentera
España y latino,Ptazeta & Juacko,Mami,2021,https://open.spotify.com/search/Ptazeta%20%26%20Juacko%20Mami
España y latino,Bad Gyal,Fiebre,2016,https://open.spotify.com/search/Bad%20Gyal%20Fiebre
España y latino,La Zowi,Sugar Mami,2018,https://open.spotify.com/search/La%20Zowi%20Sugar%20Mami
España y latino,ROSALÍA,DESPECHÁ,2022,https://open.spotify.com/search/ROSAL%C3%8DA%20DESPECH%C3%81
España y latino,Lola Índigo,Ya no quiero ná,2018,https://open.spotify.com/search/Lola%20%C3%8Dndigo%20Ya%20no%20quiero%20n%C3%A1
España y latino,Aitana,Los Ángeles,2023,https://open.spotify.com/search/Aitana%20Los%20%C3%81ngeles
Eurovision y queer,Loreen,Euphoria,2012,https://open.spotify.com/search/Loreen%20Euphoria
Eurovision y queer,Verka Serduchka,Dancing Lasha Tumbai,2007,https://open.spotify.com/search/Verka%20Serduchka%20Dancing%20Lasha%20Tumbai
Eurovision y queer,Eleni Foureira,Fuego,2018,https://open.spotify.com/search/Eleni%20Foureira%20Fuego
Eurovision y queer,Netta,Toy,2018,https://open.spotify.com/search/Netta%20Toy
Eurovision y queer,Conchita Wurst,Rise Like a Phoenix,2014,https://open.spotify.com/search/Conchita%20Wurst%20Rise%20Like%20a%20Phoenix
Eurovision y queer,Måneskin,Zitti e buoni,2021,https://open.spotify.com/search/M%C3%A5neskin%20Zitti%20e%20buoni
Eurovision y queer,Go_A,SHUM,2021,https://open.spotify.com/search/Go_A%20SHUM
Eurovision y queer,Käärijä,Cha Cha Cha,2023,https://open.spotify.com/search/K%C3%A4%C3%A4rij%C3%A4%20Cha%20Cha%20Cha
Eurovision y queer,Loreen,Tattoo,2023,https://open.spotify.com/search/Loreen%20Tattoo
Eurovision y queer,Mahmood,Soldi,2019,https://open.spotify.com/search/Mahmood%20Soldi
Eurovision y queer,Rosa Linn,Snap,2022,https://open.spotify.com/search/Rosa%20Linn%20Snap
Eurovision y queer,Duncan Laurence,Arcade,2019,https://open.spotify.com/search/Duncan%20Laurence%20Arcade
Eurovision y queer,Kalush Orchestra,Stefania,2022,https://open.spotify.com/search/Kalush%20Orchestra%20Stefania
Eurovision y queer,Nemo,The Code,2024,https://open.spotify.com/search/Nemo%20The%20Code
Eurovision y queer,Baby Lasagna,Rim Tim Tagi Dim,2024,https://open.spotify.com/search/Baby%20Lasagna%20Rim%20Tim%20Tagi%20Dim
Hits 2020s,Chappell Roan,"Good Luck, Babe!",2024,https://open.spotify.com/search/Chappell%20Roan%20Good%20Luck%2C%20Babe%21
Hits 2020s,Chappell Roan,HOT TO GO!,2023,https://open.spotify.com/search/Chappell%20Roan%20HOT%20TO%20GO%21
Hits 2020s,Charli xcx,360,2024,https://open.spotify.com/search/Charli%20xcx%20360
Hits 2020s,Charli xcx feat. Billie Eilish,Guess,2024,https://open.spotify.com/search/Charli%20xcx%20feat.%20Billie%20Eilish%20Guess
Hits 2020s,Billie Eilish,BIRDS OF A FEATHER,2024,https://open.spotify.com/search/Billie%20Eilish%20BIRDS%20OF%20A%20FEATHER
Hits 2020s,Sabrina Carpenter,Taste,2024,https://open.spotify.com/search/Sabrina%20Carpenter%20Taste
Hits 2020s,Dua Lipa,Houdini,2023,https://open.spotify.com/search/Dua%20Lipa%20Houdini
Hits 2020s,Tate McRae,greedy,2023,https://open.spotify.com/search/Tate%20McRae%20greedy
Hits 2020s,Troye Sivan,One of Your Girls,2023,https://open.spotify.com/search/Troye%20Sivan%20One%20of%20Your%20Girls
Hits 2020s,Kylie Minogue,Padam Padam,2023,https://open.spotify.com/search/Kylie%20Minogue%20Padam%20Padam
Hits 2020s,Beyoncé,CUFF IT,2022,https://open.spotify.com/search/Beyonc%C3%A9%20CUFF%20IT
Hits 2020s,Doja Cat,Paint the Town Red,2023,https://open.spotify.com/search/Doja%20Cat%20Paint%20the%20Town%20Red
Hits 2020s,RAYE feat. 070 Shake,Escapism.,2022,https://open.spotify.com/search/RAYE%20feat.%20070%20Shake%20Escapism.
Hits 2020s,Purple Disco Machine & Sophie and the Giants,Hypnotized,2020,https://open.spotify.com/search/Purple%20Disco%20Machine%20%26%20Sophie%20and%20the%20Giants%20Hypnotized
Hits 2020s,Jessie Ware,What's Your Pleasure?,2020,https://open.spotify.com/search/Jessie%20Ware%20What%27s%20Your%20Pleasure%3F
Hits 2020s,Romy,Enjoy Your Life,2023,https://open.spotify.com/search/Romy%20Enjoy%20Your%20Life
Hits 2020s,The Blessed Madonna feat. Clementine Douglas,Happier,2024,https://open.spotify.com/search/The%20Blessed%20Madonna%20feat.%20Clementine%20Douglas%20Happier
Hits 2020s,Fred again.. & Obongjayar,adore u,2023,https://open.spotify.com/search/Fred%20again..%20%26%20Obongjayar%20adore%20u
Hits 2020s,Shygirl,FREAK,2020,https://open.spotify.com/search/Shygirl%20FREAK
Hits 2020s,Slayyyter,Miss Belladonna,2023,https://open.spotify.com/search/Slayyyter%20Miss%20Belladonna
Hits 2020s,COBRAH,GOOD PUSS,2019,https://open.spotify.com/search/COBRAH%20GOOD%20PUSS
Hits 2020s,Kim Petras,Heart to Break,2018,https://open.spotify.com/search/Kim%20Petras%20Heart%20to%20Break
Hits 2020s,Tove Lo,No One Dies from Love,2022,https://open.spotify.com/search/Tove%20Lo%20No%20One%20Dies%20from%20Love
Hits 2020s,Troye Sivan,Got Me Started,2023,https://open.spotify.com/search/Troye%20Sivan%20Got%20Me%20Started
Hits 2020s,Purple Disco Machine & Kungs,Substitution,2023,https://open.spotify.com/search/Purple%20Disco%20Machine%20%26%20Kungs%20Substitution
Hits 2020s,Calvin Harris & Ellie Goulding,Miracle,2023,https://open.spotify.com/search/Calvin%20Harris%20%26%20Ellie%20Goulding%20Miracle
Hits 2020s,David Guetta & Bebe Rexha,I'm Good (Blue),2022,https://open.spotify.com/search/David%20Guetta%20%26%20Bebe%20Rexha%20I%27m%20Good%20%28Blue%29
Hits 2020s,Becky Hill & David Guetta,Remember,2021,https://open.spotify.com/search/Becky%20Hill%20%26%20David%20Guetta%20Remember
Hits 2020s,Joel Corry feat. MNEK,Head & Heart,2020,https://open.spotify.com/search/Joel%20Corry%20feat.%20MNEK%20Head%20%26%20Heart
